city,neighborhood,property_type,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,garage,basement,sale_year,sale_price
Laval,Fabreville,Single Family,4,2,982,5761.0,1985,yes,yes,2023,538000
Montréal,Hochelaga-Maisonneuve,Townhouse,3,2,1069,3890.0,1924,no,yes,2023,383000
Québec,Limoilou,Townhouse,3,2,961,3485.0,1999,yes,yes,2024,285000
Laval,Duvernay,Duplex,4,3,1610,5639.0,1995,yes,yes,2023,600000
Montréal,Outremont,Single Family,6,3,1946,12159.0,2001,no,yes,2024,708000
Sherbrooke,Centre-Ville,Single Family,5,3,1770,5529.0,2001,yes,yes,2021,504000
Montréal,Lachine,Duplex,5,3,1960,4686.0,2021,yes,yes,2025,927000
Trois-Rivières,Centre-Ville,Single Family,4,2,1134,8763.0,1994,no,yes,2025,425000
Drummondville,Saint-Charles,Single Family,5,3,1205,6992.0,2013,no,yes,2021,260000
Saint-Jean-sur-Richelieu,Iberville,Townhouse,2,2,1119,3690.0,1983,yes,yes,2022,242000
Québec,Lebourgneuf,Triplex,8,4,2465,4735.0,2012,no,yes,2024,622000
Montréal,Rosemont,Single Family,3,2,1713,7117.0,1986,yes,yes,2022,595000
Mirabel,Sainte-Monique,Bungalow,3,1,865,3138.0,1997,yes,yes,2024,403000
Victoriaville,Centre-Ville,Triplex,7,4,2302,3161.0,1975,yes,no,2025,771000
Vaudreuil-Dorion,Centre-Ville,Single Family,3,3,2123,5227.0,2003,yes,yes,2024,574000
Brossard,Secteur A,Duplex,4,4,1576,6641.0,2023,yes,yes,2024,706000
Longueuil,Vieux-Longueuil,Single Family,6,3,1313,10233.0,1998,no,yes,2025,853000
Sherbrooke,Centre-Ville,Single Family,3,2,1973,6900.0,1959,yes,yes,2022,419000
Brossard,Secteur B,Single Family,5,3,1648,4026.0,1962,yes,yes,2025,580000
Rouyn-Noranda,Rouyn Centre,Single Family,4,2,1924,5534.0,1959,yes,yes,2022,386000
Pointe-Claire,West Island,Single Family,4,3,1398,3611.0,1963,yes,yes,2024,730000
Vaudreuil-Dorion,Centre-Ville,Triplex,5,5,1724,4741.0,1997,yes,no,2025,707000
Saint-Jean-sur-Richelieu,Iberville,Single Family,4,3,1116,11119.0,1990,no,yes,2025,422000
Québec,Sillery,Single Family,4,4,1142,7180.0,1907,yes,yes,2024,418000
Montréal,Plateau-Mont-Royal,Bungalow,3,1,958,5020.0,1908,yes,yes,2021,348000
Laval,Fabreville,Triplex,6,4,2669,3109.0,1982,yes,yes,2023,952000
Terrebonne,Terrebonne Ouest,Townhouse,3,2,1056,2595.0,2004,yes,yes,2023,422000
Montréal,Villeray,Duplex,3,3,1802,3958.0,1996,no,yes,2021,574000
Rimouski,Rimouski Centre,Single Family,4,3,1469,7966.0,1999,yes,no,2022,195000
Québec,Val-Bélair,Single Family,2,3,1540,9726.0,2021,yes,yes,2024,476000
Longueuil,Le Vieux-Longueuil,Duplex,4,3,1725,4941.0,1957,yes,no,2023,703000
Victoriaville,Centre-Ville,Townhouse,4,2,1136,4010.0,1975,no,yes,2023,381000
Granby,Centre-Ville,Single Family,4,3,1942,9522.0,2022,yes,yes,2025,800000
Sherbrooke,Fleurimont,Townhouse,3,3,953,2221.0,1984,yes,yes,2023,235000
Saguenay,La Baie,Bungalow,3,2,1141,6590.0,1985,yes,no,2025,369000
Gatineau,Hull,Single Family,5,2,1573,4054.0,1988,no,no,2025,564000
Dollard-des-Ormeaux,West Island,Duplex,3,3,1620,5065.0,2015,no,no,2024,621000
Montréal,Ahuntsic,Townhouse,2,3,871,2919.0,2021,yes,yes,2024,419000
Laval,Chomedey,Duplex,4,3,1632,4677.0,2007,yes,yes,2022,631000
Gatineau,Hull,Single Family,3,2,1753,8418.0,1971,yes,yes,2023,623000
Montréal,LaSalle,Single Family,4,3,988,4194.0,1949,no,yes,2025,466000
Trois-Rivières,Cap-de-la-Madeleine,Townhouse,3,3,1141,2360.0,1996,yes,no,2024,262000
Brossard,Secteur C,Duplex,5,3,1655,3678.0,1990,yes,no,2025,623000
Terrebonne,La Plaine,Single Family,2,3,1254,7162.0,1974,yes,yes,2025,670000
Montréal,Mercier,Single Family,5,3,1462,8322.0,1954,no,yes,2022,614000
Trois-Rivières,Trois-Rivières-Ouest,Single Family,5,3,1526,9835.0,1967,yes,yes,2025,377000
Saint-Jérôme,Bellefeuille,Single Family,5,3,1501,4236.0,1978,no,yes,2023,401000
Saint-Bruno-de-Montarville,Centre-Ville,Single Family,3,3,1851,4364.0,2017,no,yes,2023,525000
Québec,Sillery,Townhouse,3,1,1097,3591.0,1969,yes,yes,2025,281000
Montréal,Villeray,Single Family,5,1,1505,8405.0,1978,yes,no,2021,490000
Montréal,LaSalle,Duplex,6,2,1553,3298.0,1991,no,yes,2023,792000
Granby,Centre-Ville,Duplex,5,2,1606,4428.0,1990,yes,no,2025,499000
Repentigny,Repentigny Centre,Single Family,3,1,1218,5600.0,1980,yes,no,2021,373000
Boucherville,Boucherville Centre,Triplex,6,3,2603,4126.0,1977,yes,no,2022,723000
Victoriaville,Centre-Ville,Single Family,4,2,1638,10247.0,1972,yes,yes,2024,508000
Brossard,Secteur B,Single Family,5,2,1558,9091.0,1978,yes,yes,2024,712000
Québec,Sillery,Single Family,3,1,1708,7051.0,1933,yes,no,2023,389000
Brossard,Secteur B,Single Family,4,3,1099,8889.0,2005,yes,yes,2022,461000
Mirabel,Saint-Canut,Townhouse,3,2,847,2174.0,2011,yes,yes,2023,303000
Québec,Val-Bélair,Single Family,5,2,1554,4824.0,1928,yes,yes,2025,387000
Gatineau,Aylmer,Single Family,3,1,1066,5778.0,1998,yes,yes,2023,361000
Montréal,Ville-Marie,Single Family,4,2,1008,9336.0,1982,no,yes,2023,485000
Gatineau,Gatineau Centre,Single Family,3,2,1998,10005.0,1979,yes,yes,2025,801000
Montréal,LaSalle,Townhouse,3,2,811,2629.0,1993,no,no,2024,300000
Québec,Sillery,Single Family,4,2,2012,5270.0,1978,yes,yes,2022,450000
Sherbrooke,Lennoxville,Single Family,6,2,1414,11840.0,2003,yes,no,2023,461000
Terrebonne,Terrebonne Ouest,Single Family,3,3,1816,8262.0,2011,yes,yes,2021,576000
Sherbrooke,Centre-Ville,Single Family,5,3,1311,4730.0,2006,no,yes,2025,438000
Montréal,Pointe-aux-Trembles,Duplex,5,2,1495,4653.0,1912,yes,yes,2023,595000
Saint-Jean-sur-Richelieu,Iberville,Single Family,3,3,1393,5171.0,1958,yes,no,2025,420000
Lévis,Saint-Nicolas,Single Family,4,2,1592,9376.0,2016,yes,yes,2022,263000
Mirabel,Sainte-Monique,Single Family,4,2,2046,6970.0,2015,yes,no,2024,520000
Québec,Sainte-Foy,Single Family,4,2,1567,9299.0,2018,yes,yes,2025,499000
Laval,Chomedey,Single Family,4,2,1362,8072.0,2003,yes,yes,2021,396000
Laval,Duvernay,Single Family,4,2,1595,10248.0,1983,yes,no,2025,758000
Brossard,Secteur A,Single Family,4,2,1806,7246.0,1976,yes,yes,2021,613000
Montréal,Ville-Marie,Single Family,2,4,1293,7271.0,1986,yes,yes,2021,405000
Saguenay,Jonquière,Single Family,6,3,1447,4424.0,2008,yes,yes,2024,365000
Dollard-des-Ormeaux,West Island,Single Family,5,3,1815,6082.0,2011,no,yes,2021,533000
Longueuil,Greenfield Park,Single Family,5,2,1172,4574.0,1994,yes,yes,2024,596000
Laval,Fabreville,Single Family,3,4,1615,4283.0,1986,yes,no,2024,707000
Saguenay,Jonquière,Single Family,4,2,2060,7267.0,2015,yes,no,2025,416000
Repentigny,Repentigny Centre,Townhouse,3,1,946,3350.0,1989,yes,yes,2025,395000
Rouyn-Noranda,Rouyn Centre,Duplex,4,3,1370,5791.0,1997,no,yes,2025,452000
Boucherville,Boucherville Centre,Bungalow,3,1,951,3635.0,1983,yes,yes,2025,654000
Trois-Rivières,Trois-Rivières-Ouest,Single Family,3,3,1434,6916.0,1998,yes,yes,2023,341000
Gatineau,Aylmer,Townhouse,3,1,1210,3095.0,1967,yes,yes,2022,349000
Mirabel,Saint-Canut,Single Family,4,3,1596,6216.0,2020,yes,yes,2025,513000
Laval,Duvernay,Single Family,3,2,1394,4145.0,2015,yes,yes,2024,567000
Sherbrooke,Lennoxville,Single Family,5,4,1518,7016.0,1963,yes,yes,2023,421000
Québec,Sainte-Foy,Townhouse,3,2,1008,3296.0,1917,yes,yes,2022,264000
Saint-Jean-sur-Richelieu,Centre-Ville,Single Family,3,2,1628,9664.0,2018,yes,yes,2024,470000
Longueuil,Saint-Hubert,Single Family,6,1,1431,6673.0,1956,yes,yes,2021,445000
Terrebonne,La Plaine,Single Family,3,4,1559,11042.0,1962,yes,yes,2023,721000
Laval,Duvernay,Single Family,6,2,1609,8683.0,1985,yes,yes,2025,850000
Laval,Pont-Viau,Single Family,6,1,1467,5017.0,1988,yes,no,2023,514000
Sherbrooke,Centre-Ville,Single Family,3,2,1470,4986.0,1976,yes,no,2021,366000
Montréal,Plateau-Mont-Royal,Single Family,3,4,1722,5706.0,1994,yes,no,2025,707000
Vaudreuil-Dorion,Centre-Ville,Single Family,5,1,1257,7131.0,2000,no,yes,2022,388000
Blainville,Blainville Centre,Single Family,5,2,1883,10710.0,1992,yes,yes,2025,653000
Vaudreuil-Dorion,Centre-Ville,Duplex,4,3,1420,5753.0,1969,yes,yes,2025,576000
Granby,Centre-Ville,Triplex,6,4,2421,3723.0,1978,yes,no,2025,871000
Longueuil,Vieux-Longueuil,Duplex,5,3,2100,4855.0,1958,yes,yes,2024,675000
Alma,Alma Centre,Single Family,4,2,1971,9691.0,2014,yes,yes,2024,369000
Saint-Jean-sur-Richelieu,Centre-Ville,Single Family,5,3,1799,7744.0,2013,yes,yes,2023,408000
Saint-Jean-sur-Richelieu,Iberville,Single Family,4,3,1395,10176.0,1999,yes,yes,2024,370000
Montréal,Mercier,Single Family,6,2,1817,6423.0,1971,yes,yes,2024,734000
Terrebonne,Terrebonne Ouest,Single Family,4,3,1855,5386.0,1993,no,yes,2024,851000
Québec,Val-Bélair,Duplex,4,2,1797,3480.0,1933,yes,no,2024,448000
Sherbrooke,Centre-Ville,Single Family,5,2,1397,4377.0,2020,yes,yes,2025,457000
Montréal,Mercier,Single Family,3,3,1564,4716.0,1957,no,yes,2024,662000
Gatineau,Aylmer,Single Family,5,2,1165,7221.0,1999,yes,yes,2021,387000
Lévis,Charny,Bungalow,3,1,981,4832.0,1989,yes,yes,2025,394000
Trois-Rivières,Trois-Rivières-Ouest,Single Family,5,3,1705,5800.0,1996,no,yes,2025,477000
Boucherville,Boucherville Centre,Single Family,5,2,1448,11593.0,1957,yes,yes,2024,587000
Gatineau,Hull,Single Family,6,3,1208,3201.0,1984,no,no,2024,450000
Montréal,Plateau-Mont-Royal,Single Family,6,2,1799,5176.0,1953,yes,yes,2024,628000
Montréal,Pointe-aux-Trembles,Single Family,5,2,1745,7113.0,1960,no,yes,2023,588000
Montréal,Plateau-Mont-Royal,Single Family,2,2,2122,8816.0,1957,yes,no,2025,762000
Laval,Chomedey,Triplex,6,6,2525,4198.0,1990,yes,yes,2022,936000
Dollard-des-Ormeaux,West Island,Single Family,4,4,1991,9208.0,2008,yes,yes,2025,973000
Montréal,Lachine,Townhouse,3,2,987,2543.0,1948,no,no,2022,287000
Québec,Limoilou,Single Family,6,3,1069,7956.0,1913,yes,yes,2023,311000
Montréal,Pointe-aux-Trembles,Single Family,4,3,1998,7025.0,1955,no,yes,2024,619000
Longueuil,Vieux-Longueuil,Single Family,2,2,1336,12225.0,1996,yes,yes,2023,653000
Gatineau,Hull,Single Family,5,3,1404,10806.0,1955,yes,yes,2024,583000
Saint-Bruno-de-Montarville,Centre-Ville,Duplex,4,3,1907,3380.0,1961,yes,yes,2021,440000
Sherbrooke,Rock Forest,Bungalow,2,1,914,4041.0,1994,no,no,2023,343000
Châteauguay,Centre-Ville,Duplex,5,2,1242,6763.0,1955,yes,yes,2024,308000
Dollard-des-Ormeaux,West Island,Single Family,3,2,1882,6645.0,1957,no,no,2025,623000
Montréal,Plateau-Mont-Royal,Single Family,4,2,1489,3916.0,1921,no,yes,2025,647000
Lévis,Lévis Centre,Duplex,5,3,1504,4151.0,2004,yes,yes,2021,293000
Alma,Alma Centre,Single Family,4,3,1955,6914.0,1994,yes,no,2024,325000
Drummondville,Saint-Charles,Single Family,2,2,1467,5408.0,1963,yes,yes,2025,371000
Montréal,Outremont,Townhouse,3,2,1059,2457.0,1964,yes,yes,2025,426000
Lévis,Lévis Centre,Single Family,4,3,1832,5744.0,1973,yes,yes,2021,409000
Longueuil,Greenfield Park,Single Family,4,3,1223,4865.0,1987,yes,yes,2025,680000
Lévis,Saint-Nicolas,Single Family,4,1,2161,11027.0,1973,yes,yes,2021,401000
Québec,Lebourgneuf,Single Family,4,2,1571,9106.0,1988,no,yes,2023,333000
Trois-Rivières,Cap-de-la-Madeleine,Single Family,3,4,1301,5939.0,1989,yes,yes,2022,297000
Laval,Chomedey,Triplex,7,4,2630,4599.0,2018,yes,yes,2024,1087000
Dollard-des-Ormeaux,West Island,Single Family,3,2,1209,11539.0,1969,yes,yes,2024,688000
Saint-Jean-sur-Richelieu,Centre-Ville,Townhouse,3,2,1063,2459.0,2006,yes,yes,2024,263000
Châteauguay,Centre-Ville,Single Family,3,3,1645,6354.0,2013,yes,yes,2022,382000
Montréal,Lachine,Triplex,5,6,2768,6463.0,1958,yes,yes,2022,865000
Granby,Centre-Ville,Single Family,2,2,863,9067.0,2014,yes,yes,2021,298000
Lévis,Charny,Single Family,3,2,1505,7033.0,1998,yes,yes,2023,396000
Longueuil,Greenfield Park,Single Family,3,3,1563,8478.0,2009,yes,yes,2021,564000
Québec,Lebourgneuf,Single Family,4,2,1943,12185.0,2023,yes,yes,2025,503000
Victoriaville,Centre-Ville,Single Family,2,3,1522,3796.0,2011,yes,yes,2022,364000
Montréal,LaSalle,Townhouse,3,2,963,2555.0,1954,no,no,2022,304000
Montréal,Hochelaga-Maisonneuve,Duplex,3,4,1856,3998.0,2007,no,yes,2023,653000
Laval,Duvernay,Townhouse,4,3,824,3701.0,2017,no,yes,2021,315000
Dollard-des-Ormeaux,West Island,Single Family,4,3,1161,13239.0,1958,yes,no,2022,486000
Saguenay,Chicoutimi,Single Family,6,3,1778,10894.0,1975,no,yes,2021,305000
Brossard,Solar Uniquartier,Triplex,4,5,2101,3920.0,1981,no,yes,2023,807000
Laval,Fabreville,Triplex,6,6,2358,3589.0,1979,yes,yes,2025,1023000
Saint-Jérôme,Bellefeuille,Single Family,4,2,1392,4762.0,1992,yes,yes,2025,407000
Brossard,Secteur C,Single Family,4,3,997,7494.0,2006,yes,yes,2022,384000
Montréal,LaSalle,Single Family,4,1,1585,5609.0,1962,no,yes,2024,520000
Sherbrooke,Rock Forest,Triplex,6,5,1987,4335.0,2020,yes,yes,2023,573000
Brossard,Solar Uniquartier,Triplex,4,4,2010,5034.0,1967,no,no,2025,869000
Brossard,Solar Uniquartier,Single Family,3,3,1759,12435.0,1964,yes,no,2024,841000
Saint-Bruno-de-Montarville,Centre-Ville,Single Family,3,3,1642,9235.0,1970,no,no,2024,601000
Laval,Pont-Viau,Single Family,4,4,1511,7961.0,1955,no,no,2022,559000
Laval,Pont-Viau,Single Family,6,1,1220,4062.0,2021,yes,yes,2025,633000
Longueuil,Greenfield Park,Triplex,6,4,2228,5841.0,1975,no,yes,2024,897000
Saint-Jérôme,Bellefeuille,Single Family,4,4,1105,8249.0,1958,yes,yes,2024,315000
Québec,Sainte-Foy,Single Family,3,2,1709,7974.0,2016,no,yes,2025,573000
Dollard-des-Ormeaux,West Island,Triplex,7,4,2874,5285.0,1979,yes,yes,2022,884000
Longueuil,Greenfield Park,Bungalow,3,2,1144,5067.0,2012,no,yes,2022,551000
Québec,Sainte-Foy,Townhouse,3,2,1066,3114.0,2009,yes,yes,2024,350000
Montréal,Saint-Léonard,Single Family,4,3,1508,9208.0,1969,yes,yes,2023,610000
Montréal,Hochelaga-Maisonneuve,Single Family,3,1,1670,7592.0,1978,no,yes,2025,737000
Montréal,Saint-Léonard,Single Family,5,3,1201,6040.0,2012,no,yes,2023,516000
Gatineau,Aylmer,Duplex,6,3,1819,4402.0,2018,yes,yes,2025,764000
Laval,Duvernay,Duplex,4,3,1872,5016.0,1973,no,yes,2025,884000
Sherbrooke,Rock Forest,Townhouse,3,2,1102,1784.0,1975,yes,yes,2023,274000
Châteauguay,Centre-Ville,Single Family,2,2,1499,7990.0,1996,yes,yes,2024,407000
Montréal,Ahuntsic,Duplex,4,3,1969,2910.0,1999,yes,yes,2022,620000
Trois-Rivières,Cap-de-la-Madeleine,Townhouse,2,2,1004,3005.0,1965,yes,no,2025,253000
Québec,Charlesbourg,Single Family,4,3,1510,9440.0,1954,no,yes,2021,255000
Montréal,Verdun,Townhouse,3,2,1095,3222.0,1955,yes,yes,2024,463000
Sherbrooke,Lennoxville,Single Family,4,2,1959,6876.0,2006,yes,yes,2023,581000
Brossard,Secteur A,Duplex,4,3,1763,2838.0,1957,yes,yes,2024,568000
Mirabel,Saint-Canut,Single Family,4,3,1682,5427.0,1977,no,yes,2024,480000
Québec,Sillery,Duplex,4,3,2034,4069.0,1970,no,yes,2025,580000
Laval,Vimont,Single Family,5,3,1816,3743.0,1998,yes,no,2021,615000
Laval,Duvernay,Single Family,3,3,1807,4602.0,2003,yes,yes,2023,623000
Québec,Charlesbourg,Townhouse,3,2,1072,2751.0,2005,no,no,2023,247000
Trois-Rivières,Trois-Rivières-Ouest,Single Family,3,3,1198,6822.0,1967,yes,yes,2022,276000
Lévis,Charny,Single Family,5,4,1868,9583.0,1956,yes,yes,2024,494000
Saint-Jean-sur-Richelieu,Iberville,Single Family,4,2,1568,6912.0,1966,yes,yes,2025,373000
Gatineau,Hull,Single Family,4,2,1743,14034.0,1998,no,yes,2025,780000
Sherbrooke,Fleurimont,Townhouse,4,2,1024,2128.0,2020,yes,no,2025,365000
Terrebonne,Terrebonne Ouest,Single Family,5,4,1362,8742.0,2020,yes,yes,2022,593000
Saint-Jean-sur-Richelieu,Iberville,Single Family,3,4,1486,5353.0,1972,yes,yes,2025,396000
Montréal,Saint-Léonard,Single Family,6,1,1591,5753.0,1984,no,yes,2025,632000
Québec,Vanier,Duplex,5,3,1874,4585.0,1989,yes,yes,2024,515000
Québec,Sainte-Foy,Single Family,3,3,1518,5875.0,1984,yes,yes,2024,435000
Terrebonne,Terrebonne Ouest,Single Family,2,1,1421,10522.0,1967,no,yes,2022,438000
Montréal,NDG,Single Family,4,4,1822,6619.0,2020,no,yes,2021,643000
Sherbrooke,Lennoxville,Single Family,4,2,1526,9161.0,1980,yes,yes,2023,496000
Saint-Bruno-de-Montarville,Centre-Ville,Single Family,4,3,1133,5980.0,1979,yes,yes,2025,528000
Brossard,Solar Uniquartier,Single Family,4,2,1119,13851.0,2008,no,yes,2022,471000
Saint-Bruno-de-Montarville,Centre-Ville,Single Family,4,2,1784,5967.0,1966,yes,yes,2021,584000
Québec,Sillery,Duplex,3,3,1628,4934.0,2009,yes,yes,2022,431000
Sherbrooke,Centre-Ville,Townhouse,2,2,1068,2566.0,1999,yes,no,2025,431000
Gatineau,Buckingham,Triplex,7,4,2251,4221.0,1984,no,yes,2022,612000
Montréal,Verdun,Triplex,8,6,2713,4858.0,1939,no,no,2023,1125000
Gatineau,Hull,Duplex,5,3,1786,6560.0,1987,yes,yes,2023,600000
Montréal,Mercier,Single Family,4,1,1635,9966.0,1982,yes,yes,2023,597000
Montréal,Mercier,Single Family,4,4,1778,7712.0,1980,no,no,2025,774000
Val-d'Or,Val-d'Or Centre,Single Family,5,2,1723,7061.0,2020,yes,yes,2024,332000
Montréal,Ahuntsic,Duplex,4,3,1681,4186.0,1976,no,no,2023,629000
Montréal,Ahuntsic,Duplex,4,3,1983,3761.0,2000,yes,no,2022,819000
Dollard-des-Ormeaux,West Island,Single Family,4,3,1593,12116.0,2013,yes,yes,2023,739000
Repentigny,Repentigny Centre,Single Family,3,2,1706,12452.0,1963,yes,no,2023,596000
Québec,Sainte-Foy,Single Family,5,2,1216,6454.0,1937,yes,no,2025,457000
Laval,Pont-Viau,Triplex,6,5,2312,4577.0,1975,yes,yes,2024,966000
Laval,Duvernay,Triplex,5,4,2967,6456.0,2002,yes,yes,2025,1202000
Montréal,NDG,Townhouse,4,2,1027,3231.0,1919,no,yes,2025,426000
Montréal,Villeray,Duplex,4,3,1656,6296.0,1957,yes,yes,2021,634000
Longueuil,Le Vieux-Longueuil,Single Family,2,3,1979,10012.0,2012,yes,yes,2024,859000
Québec,Beauport,Townhouse,3,2,1109,3296.0,1966,yes,yes,2022,289000
Repentigny,Repentigny Centre,Duplex,4,4,1674,5246.0,1969,no,yes,2022,500000
Montréal,Ahuntsic,Townhouse,4,2,1126,2946.0,1960,yes,yes,2021,308000
Trois-Rivières,Centre-Ville,Townhouse,4,2,1116,2518.0,1982,yes,yes,2025,343000
Laval,Duvernay,Single Family,6,3,1291,8808.0,1996,no,yes,2022,492000
Terrebonne,Terrebonne Ouest,Single Family,3,2,1057,4181.0,1980,yes,yes,2025,553000
Laval,Pont-Viau,Single Family,3,2,1760,8551.0,1993,yes,yes,2022,557000
Montréal,Saint-Léonard,Single Family,6,2,1926,7259.0,1955,yes,yes,2022,620000
Montréal,Mercier,Single Family,4,3,1300,9820.0,2017,yes,yes,2025,665000
Mirabel,Saint-Canut,Triplex,7,5,2638,3732.0,2011,yes,yes,2025,880000
Montréal,Saint-Léonard,Triplex,4,4,2604,6874.0,1978,yes,yes,2025,1347000
Montréal,Plateau-Mont-Royal,Single Family,3,2,1425,5518.0,1970,no,yes,2021,464000
Blainville,Blainville Centre,Townhouse,3,1,879,2769.0,2007,no,yes,2024,295000
Québec,Lebourgneuf,Single Family,4,3,1300,4533.0,1976,yes,yes,2025,401000
Boucherville,Boucherville Centre,Single Family,4,2,2103,9378.0,2001,yes,yes,2024,673000
Longueuil,Saint-Hubert,Bungalow,3,1,878,4271.0,2008,yes,yes,2022,508000
Mirabel,Saint-Canut,Single Family,4,3,1049,6602.0,1973,yes,yes,2022,315000
Saint-Jean-sur-Richelieu,Iberville,Single Family,5,2,1992,10779.0,2019,yes,yes,2025,522000
Boucherville,Boucherville Centre,Single Family,3,3,1845,7891.0,1994,no,no,2024,797000
Terrebonne,La Plaine,Single Family,3,4,1850,8559.0,1962,yes,yes,2024,810000
Lévis,Lévis Centre,Townhouse,3,3,1219,2143.0,1976,yes,yes,2023,308000
Victoriaville,Centre-Ville,Townhouse,3,2,1261,2295.0,1967,yes,yes,2024,267000
Montréal,Saint-Léonard,Triplex,7,3,2485,4250.0,1997,no,no,2021,905000
Saguenay,Jonquière,Single Family,4,2,1565,6576.0,2016,yes,yes,2025,396000
Laval,Sainte-Dorothée,Townhouse,3,2,955,2346.0,1969,no,yes,2023,467000
Rimouski,Rimouski Centre,Single Family,4,2,1469,13617.0,1964,yes,yes,2025,348000
Laval,Chomedey,Single Family,6,2,1547,8964.0,1985,yes,no,2022,660000
Mirabel,Sainte-Monique,Single Family,2,3,1439,10818.0,1997,yes,no,2024,466000
Blainville,Blainville Centre,Single Family,6,2,1130,8091.0,1958,yes,yes,2023,339000
Gatineau,Aylmer,Townhouse,3,3,1200,4099.0,1994,yes,yes,2024,381000
Montréal,Hochelaga-Maisonneuve,Single Family,3,3,891,9058.0,1918,no,yes,2023,407000
Longueuil,Le Vieux-Longueuil,Townhouse,4,1,1246,2797.0,1984,yes,yes,2024,468000
Vaudreuil-Dorion,Centre-Ville,Single Family,2,3,1307,4261.0,1957,yes,yes,2024,528000
Montréal,Rosemont,Single Family,4,2,1205,6245.0,1935,no,yes,2024,571000
Laval,Vimont,Single Family,4,3,1382,11161.0,1964,yes,yes,2023,641000
Saint-Jérôme,Centre-Ville,Triplex,7,3,2664,4930.0,1969,yes,yes,2021,534000
Trois-Rivières,Cap-de-la-Madeleine,Townhouse,2,2,1269,3038.0,1959,no,yes,2025,275000
Québec,Vanier,Single Family,4,4,1958,3495.0,1958,yes,no,2021,441000
Sherbrooke,Rock Forest,Townhouse,3,1,1176,2919.0,1977,yes,yes,2023,283000
Québec,Limoilou,Single Family,3,2,1523,5417.0,2014,yes,yes,2025,501000
Drummondville,Centre-Ville,Single Family,4,2,1393,10175.0,1965,yes,no,2024,366000
Québec,Sillery,Single Family,3,2,1361,8463.0,2020,yes,yes,2021,271000
Québec,Limoilou,Townhouse,3,2,1121,3699.0,1977,yes,yes,2025,350000
Montréal,Plateau-Mont-Royal,Single Family,5,3,1701,7865.0,1971,no,yes,2021,443000
Québec,Vanier,Single Family,2,3,1894,6275.0,1985,yes,yes,2024,545000
Montréal,Rosemont,Single Family,4,3,1647,6508.0,1907,yes,yes,2025,669000
Gatineau,Aylmer,Townhouse,2,2,810,2159.0,1966,yes,yes,2024,303000
Vaudreuil-Dorion,Centre-Ville,Single Family,4,2,1120,9495.0,1984,no,no,2025,472000
Longueuil,Le Vieux-Longueuil,Townhouse,4,2,1158,3530.0,2015,yes,yes,2024,502000
Montréal,LaSalle,Single Family,5,1,1417,5752.0,1992,no,no,2024,548000
Alma,Alma Centre,Single Family,3,4,1614,8592.0,1996,yes,no,2024,306000
Dollard-des-Ormeaux,West Island,Single Family,6,3,1617,5748.0,1985,yes,yes,2023,546000
Lévis,Lévis Centre,Townhouse,3,2,1029,3274.0,1989,no,no,2021,226000
Longueuil,Greenfield Park,Single Family,2,3,1782,7003.0,1964,yes,yes,2025,863000
Lévis,Lévis Centre,Single Family,3,4,1733,6079.0,2007,yes,yes,2022,372000
